"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"blue",428,422,1,1.88926814289904e-36,3.41352968058999e-32,129,0.305687203791469,0.428571428571429,301,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"blue",428,422,2,4.13020938867494e-36,7.46246232345788e-32,174,0.412322274881517,0.347305389221557,501,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"blue",428,422,3,2.6028291192125e-28,4.70279165259314e-24,120,0.28436018957346,0.385852090032154,311,"GO:0006952","BP","defense response","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"blue",428,422,4,9.20981998273677e-28,1.66403027448088e-23,92,0.218009478672986,0.455445544554455,202,"GO:0098542","BP","defense response to other organism","Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."
"blue",428,422,5,3.12530540342705e-24,5.64680180291199e-20,74,0.175355450236967,0.483660130718954,153,"GO:0045087","BP","innate immune response","Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."
"blue",428,422,6,4.91252801706454e-23,8.87595562123221e-19,102,0.241706161137441,0.379182156133829,269,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"blue",428,422,7,9.80114944764052e-23,1.77087168219969e-18,81,0.191943127962085,0.435483870967742,186,"GO:0002684","BP","positive regulation of immune system process","Any process that activates or increases the frequency, rate, or extent of an immune system process."
"blue",428,422,8,1.12512444012403e-22,2.0328748384161e-18,104,0.246445497630332,0.371428571428571,280,"GO:0043207","BP","response to external biotic stimulus","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."
"blue",428,422,9,1.12512444012403e-22,2.0328748384161e-18,104,0.246445497630332,0.371428571428571,280,"GO:0051707","BP","response to other organism","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
"blue",428,422,10,1.28924022636025e-22,2.3293992409877e-18,90,0.213270142180095,0.405405405405405,222,"GO:0001775","BP","cell activation","A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."
"brown",396,386,1,4.07647328347717e-21,7.36537192858655e-17,45,0.116580310880829,0.592105263157895,76,"GO:0031012","CC","extracellular matrix","A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."
"brown",396,386,2,4.38343653070221e-18,7.91999312367275e-14,124,0.321243523316062,0.275555555555556,450,"GO:0005576","CC","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"brown",396,386,3,9.18135857140009e-18,1.65888786668057e-13,30,0.077720207253886,0.714285714285714,42,"GO:0005201","MF","extracellular matrix structural constituent","The action of a molecule that contributes to the structural integrity of the extracellular matrix."
"brown",396,386,4,5.9247988852449e-16,1.07049266258605e-11,32,0.0829015544041451,0.615384615384615,52,"GO:0062023","CC","collagen-containing extracellular matrix","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells."
"brown",396,386,5,8.36321133692209e-13,1.51106502435508e-08,58,0.150259067357513,0.345238095238095,168,"GO:0001568","BP","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."
"brown",396,386,6,1.26339336659184e-12,2.28269913475814e-08,59,0.152849740932642,0.339080459770115,174,"GO:0001944","BP","vasculature development","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."
"brown",396,386,7,1.40681260865284e-12,2.54182902131395e-08,60,0.155440414507772,0.335195530726257,179,"GO:0072358","BP","cardiovascular system development","The process whose specific outcome is the progression of the cardiovascular system over time, from its formation to the mature structure. The cardiovascular system is the anatomical system that has as its parts the heart and blood vessels."
"brown",396,386,8,2.30342359222299e-12,4.1618257464285e-08,31,0.0803108808290155,0.508196721311475,61,"GO:0030198","BP","extracellular matrix organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."
"brown",396,386,9,2.80458320293654e-12,5.06732093106574e-08,90,0.233160621761658,0.27027027027027,333,"GO:0005615","CC","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"brown",396,386,10,6.35704006345133e-11,1.14858999866439e-06,49,0.126943005181347,0.345070422535211,142,"GO:0048514","BP","blood vessel morphogenesis","The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."
"cyan",63,59,1,0.000482722660815489,1,8,0.135593220338983,0.0879120879120879,91,"GO:0001701","BP","in utero embryonic development","The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."
"cyan",63,59,2,0.000502556809619062,1,5,0.0847457627118644,0.151515151515152,33,"GO:0030426","CC","growth cone","The migrating motile tip of a growing neuron projection, where actin accumulates, and the actin cytoskeleton is the most dynamic."
"cyan",63,59,3,0.000579871843643304,1,5,0.0847457627118644,0.147058823529412,34,"GO:0016236","BP","macroautophagy","The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure.  Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."
"cyan",63,59,4,0.000665803850593235,1,5,0.0847457627118644,0.142857142857143,35,"GO:0030427","CC","site of polarized growth","Any part of a cell where non-isotropic growth takes place."
"cyan",63,59,5,0.000679500676095481,1,6,0.101694915254237,0.113207547169811,53,"GO:0031668","BP","cellular response to extracellular stimulus","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."
"cyan",63,59,6,0.000679500676095481,1,6,0.101694915254237,0.113207547169811,53,"GO:0016607","CC","nuclear speck","A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy."
"cyan",63,59,7,0.000781824807635728,1,4,0.0677966101694915,0.19047619047619,21,"GO:0032838","CC","plasma membrane bounded cell projection cytoplasm","All of the contents of a plasma membrane bounded cell projection, excluding the plasma membrane surrounding the projection."
"cyan",63,59,8,0.000875616458438215,1,15,0.254237288135593,0.05,300,"GO:0033554","BP","cellular response to stress","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
"cyan",63,59,9,0.00097521427322941,1,8,0.135593220338983,0.0792079207920792,101,"GO:0030425","CC","dendrite","A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body."
"cyan",63,59,10,0.00100815909111548,1,18,0.305084745762712,0.0443349753694581,406,"GO:0009056","BP","catabolic process","The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."
"green",272,253,1,9.51279688229741e-14,1.7187721406935e-09,146,0.577075098814229,0.14384236453202,1015,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"green",272,253,2,2.68504926118036e-09,4.85134700510068e-05,69,0.272727272727273,0.175572519083969,393,"GO:0003676","MF","nucleic acid binding","Interacting selectively and non-covalently with any nucleic acid."
"green",272,253,3,5.28629921927622e-09,9.55128542938828e-05,81,0.320158102766798,0.1610337972167,503,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"green",272,253,4,3.94245313313558e-08,0.000712322432094937,97,0.383399209486166,0.144130757800892,673,"GO:0006139","BP","nucleobase-containing compound metabolic process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"green",272,253,5,4.75347764397149e-08,0.00085885834071277,181,0.715415019762846,0.114702154626109,1578,"GO:0043231","CC","intracellular membrane-bounded organelle","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"green",272,253,6,1.25158738128817e-07,0.00226136808051147,102,0.403162055335968,0.138586956521739,736,"GO:0010467","BP","gene expression","The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."
"green",272,253,7,2.91946128970829e-07,0.00527488265824494,15,0.0592885375494071,0.394736842105263,38,"GO:0003729","MF","mRNA binding","Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"green",272,253,8,3.29028422060075e-07,0.00594488552978144,97,0.383399209486166,0.138571428571429,700,"GO:0046483","BP","heterocycle metabolic process","The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
"green",272,253,9,3.29590535136722e-07,0.0059550417888503,102,0.403162055335968,0.136181575433912,749,"GO:1901363","MF","heterocyclic compound binding",NA
"green",272,253,10,4.43560156253542e-07,0.008014244903189,103,0.407114624505929,0.134993446920052,763,"GO:0097159","MF","organic cyclic compound binding","Interacting selectively and non-covalently with an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure."
"greenyellow",93,89,1,7.81271130961518e-28,1.41160067942127e-23,28,0.314606741573034,0.459016393442623,61,"GO:0030016","CC","myofibril","The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."
"greenyellow",93,89,2,4.27455394650194e-27,7.72326407053971e-23,28,0.314606741573034,0.4375,64,"GO:0043292","CC","contractile fiber","Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."
"greenyellow",93,89,3,3.52593423272658e-25,6.37065797169039e-21,25,0.280898876404494,0.471698113207547,53,"GO:0030017","CC","sarcomere","The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."
"greenyellow",93,89,4,3.43265387676346e-17,6.20211902453622e-13,32,0.359550561797753,0.175824175824176,182,"GO:0099512","CC","supramolecular fiber","A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."
"greenyellow",93,89,5,3.79748273521756e-17,6.86129180599109e-13,12,0.134831460674157,0.857142857142857,14,"GO:0001533","CC","cornified envelope","A type of plasma membrane that has been modified through addition of distinct intracellular and extracellular components, including ceramide, found in cornifying epithelial cells (corneocytes)."
"greenyellow",93,89,6,5.74040291555012e-16,1.0371759987816e-11,16,0.179775280898876,0.457142857142857,35,"GO:0031674","CC","I band","A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end."
"greenyellow",93,89,7,1.87881431106682e-15,3.39464169723553e-11,18,0.202247191011236,0.352941176470588,51,"GO:0055001","BP","muscle cell development","The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate."
"greenyellow",93,89,8,6.33095183549054e-15,1.14387637763643e-10,27,0.303370786516854,0.183673469387755,147,"GO:0061061","BP","muscle structure development","The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."
"greenyellow",93,89,9,7.7027516170781e-15,1.39173316217367e-10,17,0.191011235955056,0.361702127659574,47,"GO:0055002","BP","striated muscle cell development","The process whose specific outcome is the progression of a striated muscle cell over time, from its formation to the mature structure. Striated muscle cells contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle."
"greenyellow",93,89,10,1.40277031720321e-14,2.53452540912276e-10,33,0.370786516853933,0.139240506329114,237,"GO:0099080","CC","supramolecular complex","A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."
"grey",81,72,1,1.57880914320406e-05,0.28525923599411,3,0.0416666666666667,1,3,"GO:0035662","MF","Toll-like receptor 4 binding","Interacting selectively and non-covalently with a Toll-like 4 protein, a pattern recognition receptor that binds bacterial lipopolysaccharide (LPS) to initiate an innate immune response."
"grey",81,72,2,3.25066647295977e-05,0.587330418334371,5,0.0694444444444444,0.3125,16,"GO:0060285","BP","cilium-dependent cell motility","Cell motility due to the motion of one or more eukaryotic cilia. A eukaryotic cilium is a specialized organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole."
"grey",81,72,3,0.000317653084971896,1,4,0.0555555555555556,0.285714285714286,14,"GO:0030317","BP","flagellated sperm motility","Any process involved in the controlled movement of a flagellated sperm cell."
"grey",81,72,4,0.000317653084971896,1,4,0.0555555555555556,0.285714285714286,14,"GO:0097722","BP","sperm motility","Any process involved in the controlled movement of a sperm cell."
"grey",81,72,5,0.000638064438017756,1,2,0.0277777777777778,1,2,"GO:0070488","BP","neutrophil aggregation","The adhesion of one neutrophil to one or more other neutrophils via adhesion molecules."
"grey",81,72,6,0.00080629110030908,1,3,0.0416666666666667,0.375,8,"GO:0035325","MF","Toll-like receptor binding","Interacting selectively and non-covalently with a Toll-like protein, a pattern recognition receptor that binds pattern motifs from a variety of microbial sources to initiate an innate immune response."
"grey",81,72,7,0.00118741286536767,1,3,0.0416666666666667,0.333333333333333,9,"GO:0050832","BP","defense response to fungus","Reactions triggered in response to the presence of a fungus that act to protect the cell or organism."
"grey",81,72,8,0.00118741286536767,1,3,0.0416666666666667,0.333333333333333,9,"GO:2001244","BP","positive regulation of intrinsic apoptotic signaling pathway",NA
"grey",81,72,9,0.00118741286536767,1,3,0.0416666666666667,0.333333333333333,9,"GO:0043195","CC","terminal bouton","Terminal inflated portion of the axon, containing the specialized apparatus necessary to release neurotransmitters. The axon terminus is considered to be the whole region of thickening and the terminal bouton is a specialized region of it."
"grey",81,72,10,0.00129072193210572,1,6,0.0833333333333333,0.122448979591837,49,"GO:0016323","CC","basolateral plasma membrane","The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."
"grey60",42,34,1,0.000416965771339683,1,2,0.0588235294117647,0.666666666666667,3,"GO:0099612","BP","protein localization to axon","A process in which a protein is transported to or maintained in a location within an axon."
"grey60",42,34,2,0.00436960989772764,1,4,0.117647058823529,0.0701754385964912,57,"GO:0008544","BP","epidermis development","The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species."
"grey60",42,34,3,0.00857115330819205,1,2,0.0588235294117647,0.166666666666667,12,"GO:2001222","BP","regulation of neuron migration",NA
"grey60",42,34,4,0.0116415349685892,1,2,0.0588235294117647,0.142857142857143,14,"GO:0036064","CC","ciliary basal body","A membrane-tethered, short cylindrical array of microtubules and associated proteins found at the base of a eukaryotic cilium (also called flagellum) that is similar in structure to a centriole and derives from it. The cilium basal body is the site of assembly and remodelling of the cilium and serves as a nucleation site for axoneme growth. As well as anchoring the cilium, it is thought to provide a selective gateway regulating the entry of ciliary proteins and vesicles by intraflagellar transport."
"grey60",42,34,5,0.0120098904980573,1,1,0.0294117647058824,1,1,"GO:0000414","BP","regulation of histone H3-K36 methylation","Any process that modulates the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 36 of histone H3."
"grey60",42,34,6,0.0120098904980573,1,1,0.0294117647058824,1,1,"GO:0006384","BP","transcription initiation from RNA polymerase III promoter","Any process involved in the assembly of the RNA polymerase III preinitiation complex (PIC) at an RNA polymerase III promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."
"grey60",42,34,7,0.0120098904980573,1,1,0.0294117647058824,1,1,"GO:0007161","BP","calcium-independent cell-matrix adhesion","The binding of a cell to the extracellular matrix via adhesion molecules that do not require the presence of calcium for the interaction."
"grey60",42,34,8,0.0120098904980573,1,1,0.0294117647058824,1,1,"GO:0021869","BP","forebrain ventricular zone progenitor cell division","The mitotic division of a basal progenitor giving rise to two neurons."
"grey60",42,34,9,0.0120098904980573,1,1,0.0294117647058824,1,1,"GO:0034497","BP","protein localization to phagophore assembly site","Any process in which a protein is transported to, or maintained at, the phagophore assembly site (PAS)."
"grey60",42,34,10,0.0120098904980573,1,1,0.0294117647058824,1,1,"GO:0042297","BP","vocal learning","A behavioral process whose outcome is a relatively long-lasting behavioral change whereby an organism modifies innate vocalizations to imitate sounds produced by others."
"lightcyan",43,41,1,2.01923383372946e-05,0.364835169078239,8,0.195121951219512,0.0941176470588235,85,"GO:1905114","BP","cell surface receptor signaling pathway involved in cell-cell signaling",NA
"lightcyan",43,41,2,4.610421847758e-05,0.833011019452916,4,0.0975609756097561,0.266666666666667,15,"GO:0008013","MF","beta-catenin binding","Interacting selectively and non-covalently with the beta subunit of the catenin complex."
"lightcyan",43,41,3,0.000608455677949163,1,2,0.0487804878048781,0.666666666666667,3,"GO:0016577","BP","histone demethylation","The modification of histones by removal of methyl groups."
"lightcyan",43,41,4,0.000608455677949163,1,2,0.0487804878048781,0.666666666666667,3,"GO:0070076","BP","histone lysine demethylation","The modification of a histone by the removal of a methyl group from a lysine residue."
"lightcyan",43,41,5,0.000608455677949163,1,2,0.0487804878048781,0.666666666666667,3,"GO:0045295","MF","gamma-catenin binding","Interacting selectively and non-covalently with the gamma subunit of the catenin complex."
"lightcyan",43,41,6,0.000729467689785206,1,3,0.0731707317073171,0.230769230769231,13,"GO:0046928","BP","regulation of neurotransmitter secretion","Any process that modulates the frequency, rate or extent of the regulated release of a neurotransmitter from a cell."
"lightcyan",43,41,7,0.000751395705624821,1,6,0.146341463414634,0.0769230769230769,78,"GO:0016055","BP","Wnt signaling pathway","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state."
"lightcyan",43,41,8,0.00080448084282567,1,6,0.146341463414634,0.0759493670886076,79,"GO:0198738","BP","cell-cell signaling by wnt",NA
"lightcyan",43,41,9,0.00120277201411484,1,11,0.268292682926829,0.0404411764705882,272,"GO:0023057","BP","negative regulation of signaling","Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."
"lightcyan",43,41,10,0.00120573731489284,1,2,0.0487804878048781,0.5,4,"GO:0006482","BP","protein demethylation","The removal of a methyl group, from a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom."
"lightgreen",29,24,1,0.000205625331126529,1,2,0.0833333333333333,0.666666666666667,3,"GO:0061101","BP","neuroendocrine cell differentiation","The process in which a relatively unspecialized cell acquires specialized structural and/or functional features of a neuroendocrine cell. A neuroendocrine cell is a cell that receives input form a neuron which controls the secretion of an endocrine substance."
"lightgreen",29,24,2,0.000205625331126529,1,2,0.0833333333333333,0.666666666666667,3,"GO:0061549","BP","sympathetic ganglion development","The process whose specific outcome is the progression of a sympathetic ganglion over time, from its formation to the mature structure."
"lightgreen",29,24,3,0.000227993877588673,1,3,0.125,0.2,15,"GO:0042472","BP","inner ear morphogenesis","The process in which the anatomical structures of the inner ear are generated and organized. The inner ear is the structure in vertebrates that contains the organs of balance and hearing. It consists of soft hollow sensory structures (the membranous labyrinth) containing fluid (endolymph) surrounded by fluid (perilymph) and encased in a bony cavity (the bony labyrinth). It consists of two chambers, the sacculus and utriculus, from which arise the cochlea and semicircular canals respectively."
"lightgreen",29,24,4,0.000336957836585298,1,3,0.125,0.176470588235294,17,"GO:0042471","BP","ear morphogenesis","The process in which the anatomical structures of the ear are generated and organized. The ear is the sense organ in vertebrates that is specialized for the detection of sound, and the maintenance of balance. Includes the outer ear and middle ear, which collect and transmit sound waves; and the inner ear, which contains the organs of balance and (except in fish) hearing. Also includes the pinna, the visible part of the outer ear, present in some mammals."
"lightgreen",29,24,5,0.000409119399388206,1,2,0.0833333333333333,0.5,4,"GO:0048485","BP","sympathetic nervous system development","The process whose specific outcome is the progression of the sympathetic nervous system over time, from its formation to the mature structure. The sympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system (the other being the parasympathetic nervous system). The sympathetic preganglionic neurons have their cell bodies in the thoracic and lumbar regions of the spinal cord and connect to the paravertebral chain of sympathetic ganglia. Innervate heart and blood vessels, sweat glands, viscera and the adrenal medulla. Most sympathetic neurons, but not all, use noradrenaline as a post-ganglionic neurotransmitter."
"lightgreen",29,24,6,0.000409119399388206,1,2,0.0833333333333333,0.5,4,"GO:0061548","BP","ganglion development","The process whose specific outcome is the progression of a ganglion over time, from its formation to the mature structure."
"lightgreen",29,24,7,0.000689945553310933,1,5,0.208333333333333,0.0568181818181818,88,"GO:0007423","BP","sensory organ development","The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure."
"lightgreen",29,24,8,0.000808874606318094,1,7,0.291666666666667,0.0360824742268041,194,"GO:0009887","BP","animal organ morphogenesis","Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."
"lightgreen",29,24,9,0.00135469094913107,1,5,0.208333333333333,0.0490196078431373,102,"GO:0048598","BP","embryonic morphogenesis","The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."
"lightgreen",29,24,10,0.00140978793876109,1,2,0.0833333333333333,0.285714285714286,7,"GO:0002067","BP","glandular epithelial cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland."
"magenta",113,111,1,1.61628787671668e-20,2.9203089356517e-16,59,0.531531531531532,0.131111111111111,450,"GO:0005576","CC","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"magenta",113,111,2,5.67592761463061e-17,1.02552660141146e-12,47,0.423423423423423,0.141141141141141,333,"GO:0005615","CC","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"magenta",113,111,3,3.53126395060622e-12,6.38028770595531e-08,15,0.135135135135135,0.384615384615385,39,"GO:0008236","MF","serine-type peptidase activity","Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"magenta",113,111,4,5.46858650659132e-12,9.8806421001092e-08,15,0.135135135135135,0.375,40,"GO:0017171","MF","serine hydrolase activity","Catalysis of the hydrolysis of a substrate by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"magenta",113,111,5,6.44654761491181e-12,1.16476222306227e-07,14,0.126126126126126,0.411764705882353,34,"GO:0004252","MF","serine-type endopeptidase activity","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
